Date,Price,Commodity,Units,Type,Data Source,Ticker
2025-03-07,95.7,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-03-10,94.99,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-03-11,95.8,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-03-12,95.28,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-03-13,96.22,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-03-14,97.83,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-03-17,96.16,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-03-18,96.04,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-03-19,94.21,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-03-20,94.37,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-03-21,94.23,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-03-24,96.22,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-03-25,95.78,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-03-26,96.16,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-03-27,97.22,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-03-28,96.86,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-03-31,95.41,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-04-01,97.41,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-04-02,97.44,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-04-03,96.99,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-04-07,93.97,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-04-08,90.93,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-04-09,90.28,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-04-10,93.39,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-04-11,93.93,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-04-14,93.92,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-04-15,94.52,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-04-16,94.0,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-04-17,93.83,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-04-18,93.06,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-04-21,94.82,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-04-22,94.05,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-04-23,95.02,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-04-24,94.62,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-04-25,93.99,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-04-27,93.73,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-04-28,94.03,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-04-29,94.34,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-04-30,93.82,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-05-06,94.65,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-05-07,94.93,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
2025-05-08,93.52,Iron Ore,USD/MT,Spot,Bloomberg,ISIX62IU Index
